ClusterName,EvaluationName,TotalItems,QtyComplianceYES,QtyComplianceNO,PercentComplianceYES,PercentComplianceNO
AZ-EU-PV-PRD-CE-MFE-AKS-01,10_socket_closure_compliance,52,0,52,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,11_replica_count_compliance,189,6,183,3.17%,96.83%
AZ-EU-PV-PRD-CE-MFE-AKS-01,12_node_affinity_compliance,43,0,43,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,13_pod_disruption_budget_compliance,3,3,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,14_resource_limits_compliance,43,34,9,79.07%,20.93%
AZ-EU-PV-PRD-CE-MFE-AKS-01,15_cpu_request_compliance,101,0,101,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,16_disable_cpu_limits_compliance,101,101,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,17_namespace_limitrange_compliance,17,17,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,18_pod_qos_compliance,52,42,10,80.77%,19.23%
AZ-EU-PV-PRD-CE-MFE-AKS-01,19_kubernetes_compliance,383,0,383,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,1_check_readiness,56,14,42,25.00%,75.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,20_kubernetes_commercial_compliance,383,0,383,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,21_kubernetes_security_compliance,383,0,383,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,22_logging_compliance,52,0,52,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,23_sidecar_logging_compliance,52,52,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,24_stateless_containers_compliance,56,28,28,50.00%,50.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,25_hpa_usage_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-MFE-AKS-01,27_cluster_autoscaler_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-MFE-AKS-01,28_config_exteriorization_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-MFE-AKS-01,29_SecretsMountValidation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-MFE-AKS-01,2_crash_events,52,17,35,32.69%,67.31%
AZ-EU-PV-PRD-CE-MFE-AKS-01,30_NamespaceLimitRangeValidation,18,0,18,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,31_NamespaceResourceQuotaValidation,18,0,18,0.00%,100.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,32_kubernetes_pod_security_policies,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-MFE-AKS-01,33_PodPrivilegedCheck,52,48,4,92.31%,7.69%
AZ-EU-PV-PRD-CE-MFE-AKS-01,34_PodReadOnlyFilesystemCheck,52,7,45,13.46%,86.54%
AZ-EU-PV-PRD-CE-MFE-AKS-01,35_PodRootUserCheck,52,52,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-MFE-AKS-01,37_kubernetes_privilege_escalation,Without Data,Without Data,Without Data,N/A,N/A
